epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,1666.24,1.26172,1.52763,1.5281,0.62041,0.56471,0.58593,0.45571,1.40597,1.7151,1.62595,0.0005446,0.0005446,0.0005446
71,1689.58,1.25941,1.53047,1.52893,0.6893,0.54119,0.58238,0.45265,1.41851,1.72804,1.63821,0.000538,0.000538,0.000538
72,1712.7,1.25914,1.52138,1.52448,0.66398,0.55613,0.59132,0.45631,1.41926,1.69533,1.64098,0.0005314,0.0005314,0.0005314
73,1735.82,1.25055,1.51155,1.52196,0.58925,0.57734,0.59018,0.45685,1.41166,1.67865,1.6301,0.0005248,0.0005248,0.0005248
74,1758.95,1.23318,1.4732,1.51451,0.63237,0.56642,0.58511,0.44918,1.44485,1.73633,1.6585,0.0005182,0.0005182,0.0005182
75,1782.17,1.24483,1.48425,1.51717,0.62432,0.57501,0.59301,0.4555,1.43236,1.69224,1.6523,0.0005116,0.0005116,0.0005116
76,1805.32,1.24568,1.49982,1.52103,0.66117,0.54928,0.58622,0.45451,1.41862,1.68183,1.62533,0.000505,0.000505,0.000505
77,1828.38,1.22133,1.46123,1.49794,0.6471,0.58301,0.59346,0.45772,1.43376,1.69775,1.64611,0.0004984,0.0004984,0.0004984
78,1852,1.23682,1.48413,1.51273,0.65751,0.58226,0.59726,0.46632,1.41643,1.67756,1.63787,0.0004918,0.0004918,0.0004918
79,1875.27,1.22428,1.47516,1.49731,0.63507,0.58426,0.58826,0.45635,1.41382,1.69874,1.63046,0.0004852,0.0004852,0.0004852
80,1898.69,1.2303,1.46394,1.50436,0.67377,0.55231,0.58748,0.46227,1.4119,1.66291,1.6228,0.0004786,0.0004786,0.0004786
81,1921.72,1.23574,1.48341,1.50912,0.60177,0.58673,0.5957,0.46727,1.41747,1.65969,1.6306,0.000472,0.000472,0.000472
