epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
62,1369.76,1.19605,1.42606,1.54435,0.60653,0.60777,0.60968,0.4775,1.36872,1.68283,1.71027,0.0005974,0.0005974,0.0005974
63,1391.78,1.16679,1.39309,1.52772,0.63932,0.58141,0.61217,0.47805,1.37836,1.6352,1.71223,0.0005908,0.0005908,0.0005908
64,1413.93,1.16121,1.38388,1.52333,0.65554,0.58811,0.60579,0.47695,1.37278,1.63391,1.69296,0.0005842,0.0005842,0.0005842
65,1435.61,1.16011,1.3794,1.51938,0.65585,0.60171,0.61436,0.47999,1.36775,1.60443,1.70467,0.0005776,0.0005776,0.0005776
66,1457.67,1.15712,1.37838,1.51156,0.62448,0.60509,0.60841,0.47363,1.37254,1.60017,1.70625,0.000571,0.000571,0.000571
67,1479.24,1.15955,1.3606,1.52018,0.61796,0.62273,0.61923,0.48097,1.3838,1.59927,1.70513,0.0005644,0.0005644,0.0005644
68,1501.2,1.1349,1.31693,1.49597,0.61168,0.62935,0.61632,0.4825,1.37326,1.61231,1.72329,0.0005578,0.0005578,0.0005578
69,1523.2,1.14568,1.33796,1.50699,0.65073,0.58838,0.61759,0.48701,1.36838,1.60681,1.70866,0.0005512,0.0005512,0.0005512
70,1545.16,1.13418,1.2991,1.49302,0.61707,0.60088,0.61465,0.48434,1.3734,1.5983,1.71568,0.0005446,0.0005446,0.0005446
71,1566.28,1.12913,1.31042,1.49054,0.63764,0.60289,0.61233,0.48037,1.37332,1.59519,1.70927,0.000538,0.000538,0.000538
72,1587.72,1.12759,1.28802,1.48302,0.62983,0.62887,0.62488,0.48929,1.3527,1.54882,1.69385,0.0005314,0.0005314,0.0005314
73,1609.92,1.10822,1.26013,1.46644,0.626,0.62374,0.62041,0.48369,1.36772,1.56484,1.70303,0.0005248,0.0005248,0.0005248
