epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,1852.78,1.01911,1.03209,1.37498,0.65979,0.59152,0.61391,0.48036,1.4921,1.62596,1.806,0.0004588,0.0004588,0.0004588
84,1874.78,1.02772,1.03085,1.37986,0.63904,0.58281,0.60796,0.47669,1.5177,1.64221,1.82603,0.0004522,0.0004522,0.0004522
85,1897.22,1.00889,1.01685,1.36363,0.65105,0.59328,0.60668,0.47484,1.50396,1.63943,1.83627,0.0004456,0.0004456,0.0004456
86,1919.46,1.01299,1.00928,1.36328,0.64258,0.59635,0.60751,0.47621,1.5181,1.65012,1.84294,0.000439,0.000439,0.000439
87,1941.65,1.00743,1.00747,1.36467,0.6958,0.58155,0.61198,0.47678,1.51982,1.67097,1.85248,0.0004324,0.0004324,0.0004324
88,1963.85,0.99267,0.97744,1.34493,0.61729,0.62029,0.61486,0.47709,1.52128,1.62964,1.85641,0.0004258,0.0004258,0.0004258
89,1985.72,0.99197,0.98997,1.33875,0.68469,0.59002,0.61838,0.47696,1.50672,1.63282,1.8422,0.0004192,0.0004192,0.0004192
90,2007.55,0.9892,0.97859,1.34667,0.64122,0.60534,0.61164,0.48317,1.50599,1.63089,1.83217,0.0004126,0.0004126,0.0004126
91,2029.31,0.97219,0.95262,1.33316,0.63459,0.61879,0.61727,0.48523,1.52148,1.6449,1.85086,0.000406,0.000406,0.000406
92,2051.42,0.97835,0.9434,1.33455,0.63988,0.61102,0.6169,0.48769,1.50199,1.62766,1.8312,0.0003994,0.0003994,0.0003994
93,2073.42,0.96849,0.94745,1.33095,0.64805,0.59772,0.61386,0.48467,1.51169,1.63935,1.83981,0.0003928,0.0003928,0.0003928
